unix_time,moisture,temp_c
1788569643,628,26.80
1788569942,631,26.70
1788570242,631,26.59
1788570543,638,26.59
1788570844,638,26.08
1788571145,645,26.80
1788571445,642,27.11
1788571746,646,27.31
1788572046,667,27.11
1788572346,653,27.62
1788572646,637,27.94
1788572945,632,27.94
1788573244,635,27.94
1788573543,655,27.73
1788573843,665,28.24
1788574141,643,28.14
1788574440,640,27.94
1788574739,625,29.27
1788575038,633,28.45
1788575337,640,28.14
1788575635,652,28.24
1788575934,634,28.35
1788576233,657,28.35
1788576531,628,28.65
1788576830,638,28.35
1788577129,647,28.14
1788577428,634,28.35
1788577726,638,28.35
1788578025,648,28.14
1788578324,665,28.35
1788578623,635,28.45
1788578921,636,28.45
1788579220,643,28.45
1788579519,633,28.24
1788579817,641,28.55
1788580116,648,28.24
1788580415,666,28.04
1788580713,637,28.35
1788581012,638,28.45
1788581311,659,28.24
1788581610,649,28.35
1788581909,663,27.94
1788582207,651,28.45
1788582506,636,28.55
1788582805,654,28.24
1788583104,635,28.35
1788583403,642,28.04
1788583701,635,28.35
1788584000,654,28.55
1788584299,646,28.14
1788584598,644,27.83
1788584897,643,28.55
1788585196,641,28.45
1788585495,633,28.35
1788585794,662,28.24
1788586093,660,28.35
1788586392,634,28.76
1788586691,647,28.04
1788586990,645,28.35
1788587290,640,28.55
1788587589,648,28.14
1788587888,640,28.24
1788588187,647,28.35
1788588486,652,28.04
1788588786,647,28.14
1788589085,665,28.04
1788589384,649,28.14
1788589683,647,27.94
1788589982,641,28.14
1788590282,640,27.83
1788590581,635,27.94
1788590880,647,28.04
1788591180,673,28.04
1788591479,672,28.04
1788591778,640,28.24
1788592078,642,27.94
1788592377,678,27.83
1788592677,644,27.94
1788592977,641,27.94
1788593277,641,28.14
1788593576,661,27.94
1788593876,642,28.24
1788594176,667,28.35
1788594476,641,27.83
1788594776,681,28.14
1788595075,641,28.14
1788595375,667,28.04
1788595675,676,27.83
1788595975,645,27.94
1788596275,650,27.94
1788596575,646,28.14
1788596874,645,28.04
1788597174,670,27.83
1788597474,641,27.83
1788597774,649,28.04
1788598073,647,27.83
1788598373,679,28.04
1788598673,643,27.94
1788598973,643,27.83
1788599273,643,27.83
1788599572,645,27.31
1788599872,646,28.04
1788600172,653,27.83
1788600472,643,27.73
1788600772,640,28.14
1788601071,649,27.83
1788601371,644,27.73
1788601671,670,27.73
1788601971,644,27.94
1788602271,640,27.73
1788602571,638,27.62
1788602871,645,27.73
1788603171,666,27.31
1788603471,647,27.83
1788603771,669,27.94
1788604071,661,27.11
1788604371,674,27.52
1788604671,647,28.04
1788604972,671,27.83
1788605272,674,27.73
1788605572,664,27.62
1788605872,647,27.52
1788606172,652,27.62
1788606472,667,27.62
1788606772,674,27.83
1788607072,641,27.52
1788607372,664,27.83
1788607672,642,28.24
1788607972,651,27.94
1788608272,648,27.94
1788608571,646,28.04
1788608871,660,27.94
1788609171,655,27.83
1788609471,653,27.94
1788609770,647,27.94
1788610070,658,27.73
1788610369,678,27.94
1788610668,652,28.14
1788610968,649,28.14
1788611267,648,28.04
1788611566,643,27.83
1788611866,665,28.14
1788612165,671,27.94
1788612464,660,27.73
1788612763,650,28.14
1788613062,666,27.62
1788613362,651,28.14
1788613661,658,28.14
1788613960,658,27.94
1788614259,649,28.04
1788614559,653,27.52
1788614858,659,27.94
1788615157,650,27.83
1788615457,650,28.04
1788615756,674,28.14
1788616055,659,27.94
1788616355,658,27.83
1788616654,642,27.94
1788616954,652,27.52
1788617254,686,27.94
1788617554,664,27.62
1788617853,657,27.83
1788618153,646,27.73
1788618453,663,27.73
1788618753,668,27.83
1788619053,683,27.83
1788619353,649,27.52
1788619653,665,27.94
1788619953,665,27.62
1788620253,656,27.62
1788620553,681,27.52
1788620853,666,27.73
1788621153,658,27.62
1788621454,648,28.14
1788621754,688,27.41
1788622054,682,27.41
1788622354,662,27.73
1788622654,650,27.62
1788622955,664,27.41
1788623255,651,27.62
1788623555,652,27.94
1788623855,651,27.73
1788624156,655,27.52
1788624456,659,27.83
1788624756,650,27.73
1788625056,665,27.83
